time,q_[0],q_[1],q_[2],q_[3],q_[4],q_[5],q_[6],q_[7],desired_q_[0],desired_q_[1],desired_q_[2],desired_q_[3],desired_q_[4],desired_q_[5],desired_q_[6],desired_q_[7],desired_torque_[0],desired_torque_[1],desired_torque_[2],desired_torque_[3],desired_torque_[4],desired_torque_[5],desired_torque_[6],desired_torque_[7]
0.5000,-0.0141,0.1737,-1.0425,0.7413,0.0163,0.2257,-0.8886,0.7753,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,2.5000,0.7647,0.0100,-2.2151,2.5000,2.5000,0.0042
0.5067,-0.0125,0.1848,-1.0283,0.6016,-0.0055,0.1706,-0.8887,0.7404,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,-0.0003,2.5000,2.5000,2.5000,-0.0028
0.5133,-0.0207,0.2218,-1.0193,0.8419,-0.0355,0.1554,-0.8942,0.8072,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,-0.0100,2.5000,2.5000,2.5000,-0.0013
0.5200,-0.0242,0.2333,-1.0023,0.8364,-0.0385,0.1669,-0.9017,0.7409,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-0.0869,-2.5000,1.5149,0.0100,2.5000,-0.2598,2.5000,0.0064
0.5267,-0.0253,0.1991,-0.9835,0.6176,-0.0225,0.1821,-0.9085,0.7240,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-0.0869,-2.5000,1.5149,0.0020,2.5000,-0.2598,2.5000,-0.0070
0.5333,-0.0247,0.1409,-0.9733,0.7667,0.0058,0.1874,-0.9132,0.7192,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-0.9193,2.5000,-0.5335,-0.0100,-2.5000,-2.5000,2.5000,0.0100
0.5400,-0.0239,0.1199,-1.0110,0.8204,0.0298,0.1882,-0.9152,0.6530,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,0.8851,2.5000,2.5000,0.0069,-2.5000,-2.5000,2.5000,-0.0070
0.5467,-0.0232,0.1365,-1.1073,0.6087,0.0264,0.1860,-0.9150,0.8847,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,0.8851,2.5000,2.5000,0.0097,-2.5000,-2.5000,2.5000,-0.0081
0.5533,-0.0221,0.1599,-1.0676,0.7201,-0.0069,0.1831,-0.9137,0.7129,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,2.5000,-2.5000,2.5000,-0.0100,2.5000,-1.2405,2.5000,0.0100
0.5600,-0.0064,0.1955,-1.0206,1.0621,-0.0376,0.1801,-0.9129,0.3661,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,-0.0100,2.5000,-0.7267,2.5000,0.0100
0.5667,0.0314,0.2012,-0.9846,0.8888,-0.0360,0.1775,-0.9137,0.5664,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,0.0100,2.5000,-0.7267,2.5000,-0.0100
